Compiler,ImportFunctions
Emscripten,wbg.__wbg_toString_60641a3eea23c1a9
Emscripten,wbg.__wbindgen_closure_wrapper127
Emscripten,./rust_webpack.__wbindgen_boolean_get
Emscripten,wbg.__wbindgen_closure_wrapper132
Emscripten,./rust_webpack.__widl_f_set_item_Storage
Emscripten,wbg.__widl_f_decode_with_u8_array_TextDecoder
Emscripten,./js_framework_benchmark_simi.__widl_f_document_Window
Emscripten,env.__cargo_web_snippet_cb392b71162553130760deeb3964fa828c078f74
Emscripten,wbg.__wbg_newwithargs_10def9c4239ab893
Emscripten,./rust_webpack.__wbg_buffer_8a74a93c17ac10c7
Emscripten,./index.js.__widl_f_contains_DOMTokenList
Emscripten,wbg.__wbindgen_closure_wrapper1369
Emscripten,env.__cargo_web_snippet_c023351d5bff43ef3dd317b499821cd4e71492f0
Emscripten,./index.js.__widl_f_first_child_Node
Emscripten,env.__cargo_web_snippet_de2896a7ccf316486788a4d0bc433c25d2f1a12b
Emscripten,env.__cargo_web_snippet_dc2fd915bd92f9e9c6a3bd15174f1414eee3dbaf
Emscripten,env.svg_set_path
Emscripten,./rust_webpack.__widl_f_set_title_Document
Emscripten,env.__cargo_web_snippet_e741b9d9071097746386b2c2ec044a2bc73e688c
Emscripten,./rust_webpack.__widl_f_query_selector_all_Element
Emscripten,env.__cargo_web_snippet_b06dde4acf09433b5190a4b001259fe5d4abcbc2
Emscripten,./rust_webpack.__widl_f_create_text_node_Document
Emscripten,./rust_webpack.__wbindgen_closure_wrapper259
Emscripten,wbg.__wbg_log_c66c2c6b2597d505
Emscripten,env.sin
Emscripten,env.a
Emscripten,wasi_unstable.fd_prestat_get
Emscripten,./https_everywhere_lib_wasm.__wbindgen_object_drop_ref
Emscripten,./rust_webpack.__widl_f_request_animation_frame_Window
Emscripten,wbg.__wbg_set_2aae8dbe165bf1a3
Emscripten,wbg.__widl_f_append_child_Node
Emscripten,wbg.__widl_f_ellipse_CanvasRenderingContext2D
Emscripten,./rust_webpack.__widl_f_remove_event_listener_with_callback_EventTarget
Emscripten,./index.js.__widl_f_insert_before_Node
Emscripten,./rust_webpack.__wbg_require_0993fe224bf8e202
Emscripten,./rust_webpack.__wbg_new_a99726b0abef495b
Emscripten,./rust_webpack.__widl_f_append_child_Node
Emscripten,env.mapping_callback
Emscripten,ctx.clearRect
Emscripten,./index.js.__wbg_insertchildbefore_88866440aac35d8f
Emscripten,wbg.__widl_f_text_Response
Emscripten,wbg.__wbindgen_is_function
Emscripten,env.__cargo_web_snippet_c580ae485906e2c96cc6404b6b740d1cd93971ea
Emscripten,wbg.__widl_instanceof_HTMLCanvasElement
Emscripten,./js_framework_benchmark_simi.__widl_instanceof_Window
Emscripten,./index.js.__wbg_resolve_3e3c14963c939fcd
Emscripten,wbg.__widl_f_navigator_Window
Emscripten,env.__cargo_web_snippet_690311d2f9134ac0983620c38a9e6460d4165607
Emscripten,./js_framework_benchmark_simi.__wbindgen_cb_drop
Emscripten,./rust_webpack.__wbindgen_cb_drop
Emscripten,./js_framework_benchmark_simi.__widl_f_create_text_node_Document
Emscripten,./rust_webpack.__wbg_crypto_e95a6e54c5c2e37f
Emscripten,wbg.__widl_f_inner_html_Element
Emscripten,wbg.__wbindgen_is_null
Emscripten,./rust_webpack.__wbg_getRandomValues_02639197c8166a96
Emscripten,env.__cargo_web_snippet_6fcce0aae651e2d748e085ff1f800f87625ff8c8
Emscripten,./index.js.__wbg_addevent_c565d8397d798f9b
Emscripten,wbg.__wbindgen_object_drop_ref
Emscripten,./rust_webpack.__wbg_new_2e04ae3e39e1f9bf
Emscripten,./index.js.__widl_f_set_attribute_Element
Emscripten,./index.js.__wbg_getat_93cbb0856a23a2bc
Emscripten,./js_framework_benchmark_simi.__wbindgen_throw
Emscripten,./js_framework_benchmark_simi.__widl_f_error_1_
Emscripten,wbg.__wbg_globalThis_36c1f2e85948e420
Emscripten,./js_framework_benchmark_simi.__wbindgen_closure_wrapper402
Emscripten,env.__cargo_web_snippet_0aced9e2351ced72f1ff99645a129132b16c0d3c
Emscripten,./https_everywhere_lib_wasm.__wbg_new_d8ff5ee3f007cfae
Emscripten,./rust_webpack.__wbindgen_object_drop_ref
Emscripten,./index.js.__widl_f_id_Element
Emscripten,env.__cargo_web_snippet_85b9ecbdb8513465b790546acfd0cd530441b8a4
Emscripten,wbg.__widl_f_item_HTMLCollection
Emscripten,wbg.__wbg_global_99312a595fd2e761
Emscripten,./rust_webpack.__wbindgen_json_parse
Emscripten,./https_everywhere_lib_wasm.__wbg_set_8866dbb36cf947cb
Emscripten,./rust_webpack.__widl_f_new_with_u8_array_sequence_and_options_Blob
Emscripten,wbg.__wbg_random_09364f2d8647f133
Emscripten,wbg.__wbg_toString_c663742ecc5b25ea
Emscripten,env.cos
Emscripten,./rust_webpack.__widl_f_set_onvisibilitychange_Document
Emscripten,./js_framework_benchmark_simi.__widl_instanceof_Element
Emscripten,wasi_unstable.path_remove_directory
Emscripten,./rust_webpack.__widl_instanceof_Window
Emscripten,./rust_webpack.__wbg_new_eed4009beab03e81
Emscripten,env.__cargo_web_snippet_8545f3ba2883a49a2afd23c48c5d24ef3f9b0071
Emscripten,wbg.__wbindgen_closure_wrapper139
Emscripten,wbg.__wbg_then_0fe88013efbd2711
Emscripten,env.__cargo_web_snippet_09675c7ed2827e045dc760aeac3d286437cfbe5e
Emscripten,./rust_webpack.__widl_f_set_href_HTMLLinkElement
Emscripten,./index.js.__wbg_settextcontent_41d94df0242539e0
