Compiler,ImportFunctions
Binaryen,wbg.__wbindgen_boolean_get
Binaryen,./rust_webpack.__widl_f_set_onload_FileReader
Binaryen,./js_framework_benchmark_simi.__wbindgen_string_get
Binaryen,./rust_webpack.__wbg_randomFillSync_dd2297de5917c74e
Binaryen,./https_everywhere_lib_wasm.__wbindgen_debug_string
Binaryen,wbg.__widl_f_move_to_CanvasRenderingContext2D
Binaryen,wbg.__widl_f_get_random_values_with_u8_array_Crypto
Binaryen,./rust_webpack.__wbg_then_da08fd3391f05a8c
Binaryen,wbg.__wbg_construct_006890aeffd3c5ca
Binaryen,./https_everywhere_lib_wasm.__wbg_get_48d637c66043532c
Binaryen,env.__cargo_web_snippet_285aac3fba72d67cb459d37d4d21aa4fb62598ba
Binaryen,wasi_unstable.E
Binaryen,./js_framework_benchmark_simi.__widl_f_text_content_Node
Binaryen,./rust_webpack.__wbindgen_memory
Binaryen,./index.js.__widl_f_set_text_content_Node
Binaryen,./js_framework_benchmark_simi.__widl_f_remove_event_listener_with_callback_EventTarget
Binaryen,./rust_webpack.__widl_f_length_NodeList
Binaryen,wasi_unstable.K
Binaryen,wasi_unstable.random_get
Binaryen,wasi_unstable.l
Binaryen,wbg.__wbindgen_cb_drop
Binaryen,./js_framework_benchmark_simi.__widl_f_closest_Element
Binaryen,./rust_webpack.__widl_f_remove_attribute_Element
Binaryen,wbg.__wbg_now_4d770e8834dcad1c
Binaryen,wasi_unstable.fd_prestat_dir_name
Binaryen,./js_framework_benchmark_simi.__wbg_new_baf10398b0d0c64d
Binaryen,wbg.__widl_f_crypto_Window
Binaryen,./stringdist.__wbindgen_throw
Binaryen,./js_framework_benchmark_simi.__wbg_require_4a70cbfd3adc73a8
Binaryen,env.__cargo_web_snippet_da2febd72f9938d90bc2bf2905643f595b07abd9
Binaryen,./rust_webpack.__widl_f_visibility_state_Document
Binaryen,wbg.__wbg_length_7d181f10fc1fe14d
Binaryen,./rust_webpack.__wbg_new_0763112334e4d8dd
Binaryen,wbg.__wbindgen_closure_wrapper125
Binaryen,env.__cargo_web_snippet_cd41a77d0178ae27c833ef2950e5f1a48a1455c1
Binaryen,./rust_webpack.__widl_f_result_FileReader
Binaryen,./js_framework_benchmark_simi.__widl_f_set_inner_html_Element
Binaryen,env.__cargo_web_snippet_6bc2fd17ec363ef98d2b51edf91a221b12c51bab
Binaryen,./rust_webpack.__wbg_set_b11ab2f85bb06cfd
Binaryen,wasi_unstable.fd_fdstat_set_flags
Binaryen,./js_framework_benchmark_simi.__widl_f_remove_child_Node
Binaryen,wbg.__wbg_has_4c6784338d6c97e4
Binaryen,./rust_webpack.__widl_f_fetch_with_request_Window
Binaryen,./rust_webpack.__wbg_new_73c7b9beced23b50
Binaryen,./index.js.__widl_instanceof_HTMLElement
Binaryen,env.__cargo_web_snippet_d4e7bbbc593dd4ffbe97c262683c5a8447657985
Binaryen,env.__cargo_web_snippet_bb618d13cbb219642bd219af99ee1519e5658d77
Binaryen,wbg.__wbg_get_29e4778509052d58
Binaryen,wbg.__wbg_isArray_400c310267077da6
Binaryen,wbg.__wbg_window_ca735e04cb2b0566
Binaryen,env.__cargo_web_snippet_7c8dfab835dc8a552cd9d67f27d26624590e052c
Binaryen,./rust_webpack.__widl_f_text_Response
Binaryen,wbg.__widl_f_document_Window
