"ID","IssueID","BugFixCommitID","Filename","FunctionName","InFirstLineOfPatch","Language","RawURL"
62,59442,83379,src/ecmascript_simd.js,SIMD.Uint16x8.shuffle,0,TS,https://github.com/emscripten-core/emscripten/raw/ea38f63465bcf2a62befe4a1698c79b1b2f8dc8b/src/ecmascript_simd.js
63,59442,83379,src/ecmascript_simd.js,SIMD.Uint8x16.extractLane,0,TS,https://github.com/emscripten-core/emscripten/raw/ea38f63465bcf2a62befe4a1698c79b1b2f8dc8b/src/ecmascript_simd.js
64,59442,83379,src/ecmascript_simd.js,SIMD.Bool32x4,0,TS,https://github.com/emscripten-core/emscripten/raw/ea38f63465bcf2a62befe4a1698c79b1b2f8dc8b/src/ecmascript_simd.js
65,59442,83379,src/ecmascript_simd.js,SIMD.Bool32x4.extractLane,0,TS,https://github.com/emscripten-core/emscripten/raw/ea38f63465bcf2a62befe4a1698c79b1b2f8dc8b/src/ecmascript_simd.js
66,59442,83379,src/ecmascript_simd.js,SIMD.Bool16x8,0,TS,https://github.com/emscripten-core/emscripten/raw/ea38f63465bcf2a62befe4a1698c79b1b2f8dc8b/src/ecmascript_simd.js
67,59442,83379,src/ecmascript_simd.js,SIMD.Bool16x8.extractLane,0,TS,https://github.com/emscripten-core/emscripten/raw/ea38f63465bcf2a62befe4a1698c79b1b2f8dc8b/src/ecmascript_simd.js
68,59442,83379,src/ecmascript_simd.js,SIMD.Bool8x16.extractLane,0,TS,https://github.com/emscripten-core/emscripten/raw/ea38f63465bcf2a62befe4a1698c79b1b2f8dc8b/src/ecmascript_simd.js
69,59442,83379,src/ecmascript_simd.js,SIMD.Float64x2,0,TS,https://github.com/emscripten-core/emscripten/raw/ea38f63465bcf2a62befe4a1698c79b1b2f8dc8b/src/ecmascript_simd.js
70,59442,83379,src/ecmascript_simd.js,SIMD.Float64x2.extractLane,0,TS,https://github.com/emscripten-core/emscripten/raw/ea38f63465bcf2a62befe4a1698c79b1b2f8dc8b/src/ecmascript_simd.js
71,59442,83379,src/ecmascript_simd.js,SIMD.Float64x2.swizzle,0,TS,https://github.com/emscripten-core/emscripten/raw/ea38f63465bcf2a62befe4a1698c79b1b2f8dc8b/src/ecmascript_simd.js
72,59442,83379,src/ecmascript_simd.js,SIMD.Float64x2.shuffle,0,TS,https://github.com/emscripten-core/emscripten/raw/ea38f63465bcf2a62befe4a1698c79b1b2f8dc8b/src/ecmascript_simd.js
73,59442,83379,src/ecmascript_simd.js,SIMD.Bool64x2,0,TS,https://github.com/emscripten-core/emscripten/raw/ea38f63465bcf2a62befe4a1698c79b1b2f8dc8b/src/ecmascript_simd.js
74,59442,83379,src/ecmascript_simd.js,SIMD.Bool64x2.extractLane,0,TS,https://github.com/emscripten-core/emscripten/raw/ea38f63465bcf2a62befe4a1698c79b1b2f8dc8b/src/ecmascript_simd.js
75,59442,83379,src/ecmascript_simd.js,shift,0,TS,https://github.com/emscripten-core/emscripten/raw/ea38f63465bcf2a62befe4a1698c79b1b2f8dc8b/src/ecmascript_simd.js
76,59442,83379,src/ecmascript_simd.js,SIMD.Int8x16.shiftRightLogicalByScalar,0,TS,https://github.com/emscripten-core/emscripten/raw/ea38f63465bcf2a62befe4a1698c79b1b2f8dc8b/src/ecmascript_simd.js
