URL,Language,Bug Inducing Input Location,Purpose,Tested API,Root Cause,Root Cause Category,Root Cause SubCategory,Bug Fix,,,,,,,,,,
https://github.com/emscripten-core/emscripten/issues/8954,C,https://github.com/emscripten-core/emscripten/issues/8954#issue-466482925,Strings,std::wstring,4-byte chracters are converted to UTF-32 encoding incorrectly,Data Type Incompatibilities ,Legalization,Improve UTF-32 character encoding,,,,,,,,,,
https://github.com/emscripten-core/emscripten/issues/8941,C,https://github.com/emscripten-core/emscripten/issues/8941#issue-465319622,Memory,unsigned*,BINARYEN_IGNORE_IMPLICIT_TRAPS causes load conditional statement to be incorrectly truncated with optimizations,Bugs in Other Infrastructures,,Document behavior,,,,,,,,,,
https://github.com/emscripten-core/emscripten/issues/8879,C,https://github.com/emscripten-core/emscripten/issues/8879#issue-461642566,Inlining,EM_JS,Symbol flags not preserved during linking ,Bugs in Other Infrastructures,,Preserve flags during linking,,,,,,,,,,
https://github.com/emscripten-core/emscripten/issues/8637,C,https://github.com/emscripten-core/emscripten/issues/8637#issue-445684831,Memory,,Call to dynamic alloc fails to update heap pinter,Memory Allocation Differences,,Remove support for memory growth in dynamicAlloc,,,,,,,,,,
https://github.com/emscripten-core/emscripten/issues/8446,C++,https://github.com/emscripten-core/emscripten/issues/8446#issuecomment-499775442,Threading,"std::async, std::launch::async","Exception thrown within thread initialization gets consumed but not thrown. Instead, a different error is thrown due to continuing in an unstable state",Missing Symbol,,Avoid calling later function if not defined,,,,,,,,,,
https://github.com/emscripten-core/emscripten/issues/8010,C++,https://github.com/emscripten-core/emscripten/issues/8010#issue-407157207,"Filesystem, Closure Compiler",fopen,Using closure compiler with ENVIRONMENT=web caused issues due to NODEFS being emitted,Emit Unneeded Symbol,,Fix environment check and fix catch statement in write(),,,,,,,,,,
https://github.com/emscripten-core/emscripten/issues/8001,C,https://github.com/emscripten-core/emscripten/issues/8001#issue-406554424,"Threading, Filesystem",pthread_exit,Filesystem function declarations continue to be exported even though NO_FILESYSTEM is specified,Emit Unneeded Symbol,,Remove hardcoded exports and make them conditionally export when FS is actually used,,,,,,,,,,
https://github.com/emscripten-core/emscripten/issues/7210,C,https://github.com/emscripten-core/emscripten/issues/7210#issue-365375451,SDL,"ALCint,alcGetIntegerv, ALCchar,alcGetStringiSOFT, _alcGetString",Typo resulted in undefined function being called,Missing Symbol,,Fixed function name,,,,,,,,,,
embind serialization of string to std::wstring fails if memory growth happens,C++,https://github.com/emscripten-core/emscripten/issues/3299,Strings,embind_register_std_wstring,"When string is too large, faulty memory initializing order casuses string remains uninitialized.",Memory Allocation Differences,,Fix memory initializing order,,,,,,,,,,
undefined symbol: $FS,C,https://github.com/emscripten-core/emscripten/issues/8421#issue-431286516,Filesystem,utimes,"assumes that syscalls are the only thing that can require FS support, but there are things like utimes which are implemented in library.js and need the FS",Missing Symbol,,Leave other code free to include FS support,,,,,,,,,,
unresolved symbol: timespec_get,C,https://github.com/mruby/mruby/blob/master/mrbgems/mruby-time/src/time.c,Unresolved Symbol,timespec_get,"don't use the time module in the musl libc, so the func isn't in their JS impl.",Missing Symbol,,Add timespec_get to JS implementation,,,,,,,,,,
mmap and memory growth,C,https://github.com/emscripten-core/emscripten/issues/5187#issue-225612119,Memory,mmap,raise RangeError inside mmap(),Memory Allocation Differences,,modify the code in that function to handle memory growth,,,,,,,,,,
macro expansion EM_ASM_INT have issues with javascript array,C,https://github.com/emscripten-core/emscripten/issues/3896#issue-115155787,Inlining,EM_ASM_INT,C preprocessor assumes top-level commas mean additional macro arguments.,Parsing,,just make sure the commas are surrounded by parentheses. Nothing can be done to the C preprocessor.,,,,,,,,,,
SIMD Int64x2 code fails to build in optimized mode.,C,https://github.com/emscripten-core/emscripten/issues/3788#issue-107216556,Integers,_mm_add_epi64,Int64x2 functions are currently not available in optimized builds and they are skipped in test_sse2_full,Bugs in Other Infrastructures,,Prevent LLVM's optimizer from emitting silly vector types,,,,,,,,,,
Add support for compiling switch-cases of unbounded length.,C,https://github.com/emscripten-core/emscripten/issues/3534#issue-87378708,Switch-case,switch,When encounter a large switch-case LLVM may crash,Bugs in Other Infrastructures,,Expand big swithes,,,,,,,,,,
failure to parse metadata,C++,https://github.com/emscripten-core/emscripten/issues/5593#issue-258492318,Inlining,EM_ASM_INT,error occurs when inside a string there is a TAB,Parsing,,Add support for tabs in EM_ASM,,,,,,,,,,
std::uncaught_exception flag not reset properly,C++,https://github.com/emscripten-core/emscripten/issues/4392#issue-159601679,Exception Handling,std::uncaught_exception,begin_catch is called more than once on a single exception,Faulty Program Logic,,Fix begin_catch called time,,,,,,,,,,
"Embind Reference Error: ""getTypeName is not defined""",C,https://github.com/emscripten-core/emscripten/issues/3489#issuecomment-109173286,Bindings,embind,trying to call the embinded function with the array as the function argument while the function requires a raw pointer,Missing Symbol,,takes an uintptr_t as the input parameter which is the address to the array.,,,,,,,,,,
Embind overload table containing 'undefined' entry,C++,https://github.com/emscripten-core/emscripten/issues/3436#issue-73091948,Bindings,select_overload,"in the embind code, a variable sometimes can be undefined",Missing Symbol,,Fix the undefined problem,,,,,,,,,,
SDL 2 SDL_JoystickUpdate() breaks emterpreter compilation,C,https://github.com/emscripten-core/emscripten/issues/3141#issue-54911055,SDL,SDL_JoystickUpdate,emterpreter compilation breaks,Missing Symbol,,parse expresions with no output register but with internal subeffects,,,,,,,,,,
"Linking problem with new ""use all of musl"" fix with NO_FILESYSTEM=1",C,https://github.com/emscripten-core/emscripten/issues/3627#issuecomment-121979499,Linking,printf,broke printf when NO_FILESYSTEM,Missing Symbol,,enable printf to work despite not having any underlying FS,,,,,,,,,,
perms is undefined in realpath(),C,https://github.com/emscripten-core/emscripten/commit/43b35ab9c73cc642f511a3539b76118473488974,Filesystem,realpath(3),something specific to realpath(3),Faulty Program Logic,,fix flagsToPermissionString bug,,,,,,,,,,
Missing input file for `--llvm-lto 3`,C,https://github.com/emscripten-core/emscripten/issues/3765#issue-105915755,I/O,printf,bug in test_llvm_lto,Bugs in Other Infrastructures,,fix and test --llvm-lto,,,,,,,,,,
Using std::cout before main has been entered,C++,https://github.com/emscripten-core/emscripten/issues/3824#issue-108688108,Strings,std::out,libc++ need to raise the priority of it's global constructors,Bugs in Other Infrastructures,,ensure a high priority for iostream constructor,,,,,,,,,,
Cannot create multiple SDL_Window objects in Emscripten,C++,https://github.com/emscripten-core/emscripten/issues/5081#issue-216939116,SDL,SDL_CreateWindow,multi-canvas usage not tested,Incompatible Options,,Support window selector in shell.html,,,,,,,,,,
browser.test_cocos2d_hello fails,C++,https://github.com/emscripten-core/emscripten/issues/5659#issuecomment-336031087,Inlining,EM_ASM,bug in cocos2d sources,Parsing,,fix cocos bug,,,,,,,,,,
Auto check parameter type on writeFile,C,https://github.com/emscripten-core/emscripten/issues/6010#issue-285280452,Filesystem,fgets,bug in output,Faulty Program Logic,,Implement rawPrint and async input in browsers,,,,,,,,,,
Multithreading 34/34: OffscreenCanvas + proxied Canvas support,C,https://github.com/emscripten-core/emscripten/pull/6254#issuecomment-434897119,"Threading,SDL,GL","SDL_CreateWindow,SDL_GL_CreateContext",current JS-implemented EGL (library_egl.js) is not multithreading aware,Synchronous/Asynchronous,,"improves supports for OffscreenCanvas, allowing pthreads",,,,,,,,,,
Memory-leak in fetch API,C++,https://github.com/emscripten-core/emscripten/issues/6359#issue-307167420,"Memory, Fetch",fetch,memory leak bug in Fetch.js,Memory Allocation Differences,,fix the memory leak issue,,,,,,,,,,
max_align_t not defined for C programs,C,https://github.com/emscripten-core/emscripten/issues/6660#issue-330103889,Integers,max_align_t,max_align_t not defined libcxx directory,Missing Symbol,,Define max_align_t in stddef.h,,,,,,,,,,
Call global-scope-js-function from threads,C,https://github.com/emscripten-core/emscripten/issues/6826#issue-339479362,Threading,pthread_t,can't use function-calls from Threads to the js-main-loop,Synchronous/Asynchronous,,use MAIN_THREAD_ASYNC_EM_ASM,,,,,,,,,,
prevent exception in val::new_() after memory growth,C++,https://github.com/emscripten-core/emscripten/pull/7409#issuecomment-435197909,Memory,emscripten/val.h,"val::new_() calls an allocator, which become stale after memory growth",Memory Allocation Differences,,prevent exception after memory growth,,,,,,,,,,
Emscripten v1.38.28 ==> GLSL shader compile fails when using -s USE_PTHREADS=1,JS,https://github.com/emscripten-core/emscripten/issues/8238#issue-417452629,Threading,USE_PTHREADS,they disable TEXTDECODER for pthreads,Missing Symbol,,Fix UTF8ArrayToString without TEXTDECODER in the case we exit from the loop,,,,,,,,,,
LLVM'backend'producing'js'with'Optimisation'fails'to'run'TypeError:'r'is'not'a'function,JS,https://drive.google.com/file/d/1rM2AualqVlrt5Ahf0fzahy_kssK9hFCG/view?usp=sharing,Wasm2JS,,"Typo caused functions to be scanned and treated as locals during optimization, cua",Bugs in Other Infrastructures,,Fix typo,,,,,,,,,,
unreachable''OpenSSL'function,C,openssl/digest.c at OpenSSL_1_1_1a · openssl/openssl (github.com),OpenSSL,EVP_MD_CTX_free,Undefined symbol was warning on linking instead of erroring,Bugs in Other Infrastructures,,"Rename stub/error functions to a more meaningful name instead of ""unreachable""",,,,,,,,,,
Embind'unreachable'code'warning'in'1.38.40'upstream/wasm2js,JS,https://github.com/emscripten-core/emscripten/issues/9129#issue-475135655,Wasm2JS,convertJsFunctionToWasm,"Dead code left in internal convertJsFunctionToWasm function, causing warning",Other,,Remove dead code,,,,,,,,,,
flatmax'broken'with'wasm'+'embind,C,flatmax/WASM: Foundation for a C++ WebAssembly project (github.com),Bindings,,Compiling to Wasm doesn't bind .so library,Incompatible Options,,Disable wasm compilation,,,,,,,,,,
Fixing'asterisk'symbol'problem'in'em_js,C,https://github.com/emscripten-core/emscripten/pull/7544#issue-232387979,Inlining,EM_JS,"Asterisk of pointer on variable name is kept in JS, producing invalid syntax",Parsing,,Fix asterick symbol removal,,,,,,,,,,
glGetVertexAttribiv'throws'TypeError'when'using'closure,C,https://gist.github.com/ILikeBigBoots/bc06e5b0f774e819663c3f18dc3171ae/raw/fc3303b8b69e7ab3b49d6e01fb6b5d35bed3038f/testcase,"Math Library, GL","glGetVertexAttribiv, GL_VERTEX_ATTRIB_ARRAY_ENABLED",Closure compiler removing Math library functions,Missing Symbol,,Ignore Math library during minification,,,,,,,,,,
Type'undefined''error'occurred'when'trying''enum''with'WebIDL.,C,https://github.com/emscripten-core/emscripten/issues/6731#issue-334302102,WebIDL,enum,Binding with enums not working in WebIDL,Emit Unneeded Symbol,,Remove unnecessary enum typedefs in WebIDL,,,,,,,,,,
EMTERPRETIFY'incompatible'with'g4,C,https://github.com/emscripten-core/emscripten/issues/6724#issue-333854330,"Emterpreter, Source Maps",,Emterpreter bytecode is not compatible with source maps,Incompatible Options,,Show error when combining options,,,,,,,,,,
establishStackSpace'is'not'defined''when'running'emcc'with'-s'WASM=1'-s'USE_PTHREADS=1'-Oz',C,https://github.com/kripken/emscripten/files/2085962/SimpleWasmThread.zip,Threading,std::thread,Compiling with -Oz optimizes away necessary pthread functions,Missing Symbol,,Explicitly export required pthread methods,,,,,,,,,,
metadce:'JS'function'support,C,https://github.com/emscripten-core/emscripten/pull/6032#issue-161396666,Dead Code Elimination,,MetaDCE cannot scan functions across JS and WebAssembly boundary,Incompatible Options,,"Add Js function scanning support, enabling better optimization",,,,,,,,,,
JS'and'wasm'shrinking'(testcase'#1),C,https://github.com/emscripten-core/emscripten/issues/5836#issue-276223920,Optimization,,Emitted JS and WebAssembly boilerplate code contains unnessary code,Emit Unneeded Symbol,,Minimize unneeded code exported by default to JS wrapper and Wasm boilerplate,,,,,,,,,,
frem'float'miscompilation,LLVM IR,https://github.com/emscripten-core/emscripten/issues/5399#issue-244289446,Floating Point Values,"float, frem",frem gets miscompiled with parameters being f32's and return type as f64,Bugs in Other Infrastructures,,Fix float parameter type mismatch,,,,,,,,,,
emscripten::val::as<uint32_t>'-''RuntimeError:'integer'result'unrepresentable''where'value'>='0x80000000,C,https://github.com/emscripten-core/emscripten/issues/5277#issue-233971461,"Integers, Bindings","uint32_t, set_bind_u32",Embind did not properly support 32-bit unsigned integers,Data Type Incompatibilities,Compiler Casting,Add check for unsigned integer type,,,,,,,,,,
`-s'WASM=1`'not'working'with'emterpreter,JS,https://github.com/emscripten-core/emscripten/issues/5031#issue-214242638,Emterpreter,ASM_NONE,Emterpreter fails to set up completely,Faulty Program Logic,,Switch conditional is modified to bypass incorrect type check on ASM_NONE,,,,,,,,,,
WASM'+'USE_PTHREADS'doesn't'work'with'SAFE_HEAP,C,https://github.com/emscripten-core/emscripten/issues/7208#issue-365289873,Threading,,"SafeHeap emits atomic float operations, which are not supported by specification",Data Type Incompatibilities,Compiler Casting,Prevent emitting atomic floats in SafeHeap,,,,,,,,,,
Fix'embinding'functions'for'wasm'backend,C,https://github.com/emscripten-core/emscripten/pull/5117#issuecomment-293050677,"Bindings, Indirect Calls"," int (*f)(int), void (*fptr)(void)",Function pointer bitcasting is not supported in WebAssembly as it violates call_indirect type checking ,WebAssembly Limitation,,Remove function pointer casting and replace with simple pointer return type,,,,,,,,,,
emar duplicates object files when used in incremental builds,C,https://github.com/emscripten-core/emscripten/issues/9653#issue-508023581,Emar,,Running incremental builds causes Emar to duplicate objects instead of overwriting old ones,Emit Unneeded Symbol,,Always add hash prefix to object filenames,,,,,,,,,,
